Series Name	Series Code	Country Name	Country Code	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]
Refugee population by country or territory of origin	SM.POP.REFG.OR	East Asia & Pacific	EAS	988001	989679	990853	1031919	1045121	1018444	1066541	1736488	1729048	1645142
Refugee population by country or territory of origin	SM.POP.REFG.OR	East Asia & Pacific (excluding high income)	EAP	987127	988857	989977	1031143	1044260	1017833	1066147	1736102	1728631	1644825
Refugee population by country or territory of origin	SM.POP.REFG.OR	East Asia & Pacific (IDA & IBRD countries)	TEA	986212	987811	988851	1029980	1042985	1016739	1064728	1734926	1727834	1644067
Refugee population by country or territory of origin	SM.POP.REFG.OR	Euro area	EMU	2245	2385	2537	1800	1750	1647	1756	1892	2230	2319
Refugee population by country or territory of origin	SM.POP.REFG.OR	Europe & Central Asia	ECS	708208	670470	652846	340100	547913	604490	507228	407075	369424	352352
Refugee population by country or territory of origin	SM.POP.REFG.OR	Europe & Central Asia (excluding high income)	ECA	631964	597998	581354	282389	500027	563442	472601	373244	335571	318652
Refugee population by country or territory of origin	SM.POP.REFG.OR	Europe & Central Asia (IDA & IBRD countries)	TEC	703511	665884	648400	335903	543371	599923	501186	400446	361916	344758
Refugee population by country or territory of origin	SM.POP.REFG.OR	European Union	EUU	78625	74614	73458	59415	49352	42148	35328	34432	34374	34177
Refugee population by country or territory of origin	SM.POP.REFG.OR	Fragile and conflict affected situations	FCS	7641270	7467432	7760492	9385361	11596288	13079291	14465750	17326177	17786179	17832027
Refugee population by country or territory of origin	SM.POP.REFG.OR	Heavily indebted poor countries (HIPC)	HPC	5709547	5892739	6007760	6117190	6369464	6953390	6848916	7168392	7375253	7532823
Refugee population by country or territory of origin	SM.POP.REFG.OR	High income	HIC	85683	83311	83489	67958	58534	51311	40050	39837	40581	40714
Refugee population by country or territory of origin	SM.POP.REFG.OR	IBRD only	IBD	3753677	3457832	2653238	1948321	2114916	2061860	2006177	1880138	1844442	1925096
Refugee population by country or territory of origin	SM.POP.REFG.OR	IDA & IBRD total	IBT	10119307	9992664	10094784	11321487	14003856	15701620	16751088	19437082	19836854	19945873
Refugee population by country or territory of origin	SM.POP.REFG.OR	IDA blend	IDB	136405	131169	139655	140232	492202	529034	391507	424205	497465	537428
Refugee population by country or territory of origin	SM.POP.REFG.OR	IDA only	IDX	6229225	6403663	7301891	9232934	11396738	13110726	14353404	17132739	17494947	17483349
Refugee population by country or territory of origin	SM.POP.REFG.OR	IDA total	IDA	6365630	6534832	7441546	9373166	11888940	13639760	14744911	17556944	17992412	18020777
Refugee population by country or territory of origin	SM.POP.REFG.OR	Late-demographic dividend	LTE	1478797	1452622	1444897	1225141	1196556	1165912	1138669	1021364	975189	1009622
Refugee population by country or territory of origin	SM.POP.REFG.OR	Latin America & Caribbean	LCN	470611	483996	491192	496493	462707	448051	420669	317028	291071	440026
Refugee population by country or territory of origin	SM.POP.REFG.OR	Latin America & Caribbean (excluding high income)	LAC	468833	481958	489123	494937	461136	446535	419195	315422	289366	438200
Refugee population by country or territory of origin	SM.POP.REFG.OR	Latin America & the Caribbean (IDA & IBRD countries)	TLA	463105	475911	483211	488713	454856	440858	414232	311092	284896	432596
Refugee population by country or territory of origin	SM.POP.REFG.OR	Least developed countries: UN classification	LDC	6276897	6329252	6458032	6659559	7414993	8143117	8759184	10753182	10766888	10780678
Refugee population by country or territory of origin	SM.POP.REFG.OR	Low & middle income	LMY	10147643	10025938	10129606	11371299	14065160	15769803	16826563	19514876	19916333	20022254
Refugee population by country or territory of origin	SM.POP.REFG.OR	Low income	LIC	5573772	5648762	6617407	8511989	10692141	12436296	13670988	15781685	16154832	16197626
Refugee population by country or territory of origin	SM.POP.REFG.OR	Lower middle income	LMC	1571778	1656462	1482254	1451852	2022683	2121026	1923910	2540704	2568476	2510720
Refugee population by country or territory of origin	SM.POP.REFG.OR	Middle East & North Africa	MEA	1908778	1661560	1696345	3074835	4475952	5377343	6098282	6969777	7351474	7293558
Refugee population by country or territory of origin	SM.POP.REFG.OR	Middle East & North Africa (excluding high income)	MNA	1905168	1657539	1691955	3071865	4472919	5374224	6095221	6966288	7347453	7289249
Refugee population by country or territory of origin	SM.POP.REFG.OR	Middle East & North Africa (IDA & IBRD countries)	TMN	1811856	1563397	1597038	2975830	4375712	5276211	5997427	6866658	7246725	7192931
Refugee population by country or territory of origin	SM.POP.REFG.OR	Middle income	MIC	4573871	4377176	3512199	2859310	3373019	3333507	3155575	3733191	3761501	3824628
Refugee population by country or territory of origin	SM.POP.REFG.OR	North America	NAC	3105	3883	4575	4849	5069	4897	378	385	414	369
Refugee population by country or territory of origin	SM.POP.REFG.OR	Not classified	INX	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	OECD members	OED	561943	556685	551808	485424	448056	423617	388253	274118	230679	297470
Refugee population by country or territory of origin	SM.POP.REFG.OR	Other small states	OSS	84762	68728	53707	40590	35037	33019	30896	30754	33354	33255
Refugee population by country or territory of origin	SM.POP.REFG.OR	Pacific island small states	PSS	1960	1686	1419	1211	1026	985	892	832	747	657
Refugee population by country or territory of origin	SM.POP.REFG.OR	Post-demographic dividend	PST	177309	170821	164336	104426	322776	395206	299832	198135	150937	117684
Refugee population by country or territory of origin	SM.POP.REFG.OR	Pre-demographic dividend	PRE	7318007	7239579	6646690	6456353	7232190	7744755	8419067	9817273	9918962	10004921
Refugee population by country or territory of origin	SM.POP.REFG.OR	Small states	SST	90579	74974	60264	47442	42262	40336	37445	37596	40457	39992
Refugee population by country or territory of origin	SM.POP.REFG.OR	South Asia	SAS	3344514	2928090	2842237	2788672	3107710	3134444	2765648	2909951	2973843	3026497
Refugee population by country or territory of origin	SM.POP.REFG.OR	South Asia (IDA & IBRD)	TSA	3344514	2928090	2842237	2788672	3107710	3134444	2765648	2909951	2973843	3026497
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sub-Saharan Africa	SSF	2810109	3371571	3535047	3702389	4479222	5233445	6007867	7214009	7241640	7305024
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sub-Saharan Africa (excluding high income)	SSA	2810037	3371496	3534960	3702293	4479108	5233325	6007751	7213869	7241469	7304831
Refugee population by country or territory of origin	SM.POP.REFG.OR	Sub-Saharan Africa (IDA & IBRD countries)	TSS	2810109	3371571	3535047	3702389	4479222	5233445	6007867	7214009	7241640	7305024
Refugee population by country or territory of origin	SM.POP.REFG.OR	Upper middle income	UMC	3002093	2720714	2029945	1407458	1350336	1212481	1231665	1192487	1193025	1313908
Refugee population by country or territory of origin	SM.POP.REFG.OR	World	WLD	15239927	15201674	15416945	16728287	19534044	21351537	22524734	25383515	25905096	26074648
													
													
													
Data from database: World Development Indicators													
Last Updated: 03/19/2021													
